,PropertyID,LocalityName,PostalCode,TypeOfProperty,SubtypeOfProperty,Price,TypeOfSale,NumberOfRooms,LivingArea,EquippedKitchen,Furnished,OpenFire,Terrace,Garden,Surface,NumberOfFacades,SwimmingPool,StateOfBuilding
19365,11007823.0,ANTWERPEN,2018,APARTMENT,GROUND_FLOOR,549000.0,,3.0,163.0,1.0,0.0,0.0,2.0,20.0,,2.0,False,JUST_RENOVATED
19366,11007821.0,Fauvillers,6637,HOUSE,HOUSE,270000.0,NewlyBuilt,3.0,,1.0,0.0,0.0,,0.0,456.0,2.0,False,AS_NEW
19367,11007817.0,Aalst,9300,HOUSE,HOUSE,299000.0,UnderOption,3.0,255.0,,0.0,1.0,0.0,0.0,0.0,3.0,False,AS_NEW
19368,11007814.0,Berchem-Sainte-Agathe,1082,APARTMENT,APARTMENT,255000.0,,2.0,110.0,1.0,0.0,1.0,13.0,0.0,,,False,GOOD
19369,10846215.0,Bois-de-lessines,7866,HOUSE,HOUSE,250000.0,,3.0,194.0,0.0,0.0,0.0,0.0,0.0,390.0,4.0,False,GOOD
19370,11007810.0,Fauvillers,6637,HOUSE,HOUSE,275000.0,NewlyBuilt,3.0,,1.0,0.0,0.0,,0.0,633.0,2.0,False,AS_NEW
19371,10832148.0,Kortrijk,8500,APARTMENT,APARTMENT,395000.0,,4.0,185.0,1.0,0.0,0.0,,0.0,,2.0,False,GOOD
19372,11007808.0,Wevelgem,8560,HOUSE,HOUSE,207000.0,,3.0,168.0,,0.0,0.0,0.0,0.0,175.0,2.0,False,TO_RESTORE
19373,11007807.0,Sint-Laureins,9980,APARTMENT,APARTMENT,275000.0,,2.0,87.0,0.0,0.0,0.0,12.0,0.0,,,False,GOOD
19374,11007806.0,Herk-de-Stad,3540,APARTMENT,APARTMENT,250000.0,NewlyBuilt,1.0,74.0,1.0,0.0,0.0,,0.0,,2.0,False,GOOD
19375,11007802.0,Fleurus,6220,HOUSE,MIXED_USE_BUILDING,370000.0,,3.0,400.0,1.0,0.0,1.0,22.0,12.0,0.0,3.0,False,TO_BE_DONE_UP
19376,11007787.0,Dessel,2480,HOUSE,HOUSE,319000.0,,4.0,167.0,0.0,0.0,0.0,,0.0,743.0,,False,TO_RESTORE
19377,11007785.0,Fauvillers,6637,HOUSE,HOUSE,275000.0,NewlyBuilt,3.0,,,0.0,0.0,,0.0,600.0,2.0,False,AS_NEW
19378,11007776.0,Hamme,9220,HOUSE,HOUSE,320000.0,,3.0,160.0,,0.0,0.0,0.0,0.0,350.0,3.0,False,GOOD
19379,11007773.0,Lokeren,9160,HOUSE,HOUSE,505000.0,,3.0,180.0,,0.0,0.0,0.0,0.0,515.0,3.0,False,GOOD
19380,10969619.0,Evere,1140,APARTMENT,APARTMENT,199000.0,,2.0,,0.0,0.0,0.0,14.0,0.0,,,False,GOOD
19381,10969614.0,Gent,9000,APARTMENT,FLAT_STUDIO,205000.0,NotarySale,1.0,,,0.0,0.0,0.0,0.0,,2.0,False,
19382,10865106.0,Brugge,8000,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
19383,10969611.0,Ixelles,1050,APARTMENT,APARTMENT,449000.0,,2.0,95.0,1.0,0.0,0.0,4.0,0.0,,2.0,False,TO_BE_DONE_UP
19384,10682395.0,Knokke-Heist,8300,APARTMENT_GROUP,APARTMENT_GROUP,,NewlyBuilt,,,,0.0,0.0,0.0,0.0,,,False,
19385,10707691.0,Antwerpen,2018,APARTMENT,APARTMENT,315000.0,,1.0,70.0,,0.0,0.0,15.0,0.0,,2.0,False,AS_NEW
19386,10969567.0,Liège,4020,APARTMENT,APARTMENT,165000.0,,1.0,60.0,,0.0,0.0,0.0,0.0,,2.0,False,
19387,10969526.0,Leuven,3001,APARTMENT,APARTMENT,220000.0,,1.0,36.0,,1.0,0.0,,0.0,,2.0,False,
19388,10969525.0,Jette,1090,APARTMENT,PENTHOUSE,229000.0,,1.0,71.0,,0.0,0.0,30.0,0.0,,,False,AS_NEW
19389,10969501.0,LAEKEN (BRU.),1020,APARTMENT,DUPLEX,285000.0,,3.0,120.0,1.0,0.0,1.0,0.0,0.0,,2.0,False,JUST_RENOVATED
19390,10969500.0,BRUXELLES,1020,APARTMENT,APARTMENT,225000.0,UnderOption,2.0,84.0,1.0,0.0,1.0,4.0,0.0,,2.0,False,GOOD
19391,10969498.0,LAEKEN (BRU.),1020,APARTMENT,APARTMENT,285000.0,,3.0,120.0,1.0,0.0,1.0,0.0,0.0,,2.0,False,JUST_RENOVATED
19392,10820188.0,Deinze,9800,APARTMENT,APARTMENT,219900.0,,2.0,,,0.0,0.0,0.0,0.0,,,False,
19393,10969484.0,Antwerpen,2600,APARTMENT,APARTMENT,229000.0,,2.0,,1.0,0.0,0.0,3.0,0.0,,,False,
19394,10969482.0,Anderlecht,1070,APARTMENT,APARTMENT,285000.0,,5.0,195.0,,0.0,0.0,1.0,0.0,,2.0,False,TO_RENOVATE
