property_id,postal_code,type_of_property,subtype_of_property,price,bedrooms,living_area,openfire,terrace,garden,rooms,bathrooms,region,province,state_of_property,facade_count,heating,kitchen,furnished,swimmingpool
11191417,8301,APARTMENT,APARTMENT,430000,2,71,False,,False,3,1,Flandres,Flandre Occidentale,JUST_RENOVATED,,ELECTRIC,,,
11190750,9700,APARTMENT,APARTMENT,295000,2,91,False,,False,,1,Flandres,Flandre Orientale,,2,GAS,HYPER_EQUIPPED,False,False
11197803,8370,APARTMENT,APARTMENT,160000,1,45,False,,False,,1,Flandres,Flandre Occidentale,,,GAS,INSTALLED,True,
11191537,9310,APARTMENT,APARTMENT,415000,4,166,False,,False,,2,Flandres,Flandre Orientale,GOOD,3,GAS,INSTALLED,,
11189910,1030,APARTMENT,APARTMENT,300000,2,86,False,20,False,,1,Bruxelles,Bruxelles,GOOD,,GAS,USA_HYPER_EQUIPPED,,
11189967,1140,APARTMENT,TRIPLEX,439000,3,145,False,20,False,,1,Bruxelles,Bruxelles,AS_NEW,2,GAS,HYPER_EQUIPPED,False,
11192277,1090,APARTMENT,APARTMENT,314500,2,97,False,,False,,1,Bruxelles,Bruxelles,AS_NEW,3,,USA_HYPER_EQUIPPED,,False
11174458,9550,APARTMENT,APARTMENT,197900,1,64,False,7,False,,,Flandres,Flandre Orientale,AS_NEW,2,SOLAR,USA_HYPER_EQUIPPED,,False
11189667,5530,APARTMENT,APARTMENT,195000,1,68,False,14,False,,1,Wallonie,Namur,GOOD,2,GAS,USA_INSTALLED,,False
11199551,8700,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,False,,,Flandres,Flandre Occidentale,,,,,,
11174216,9550,APARTMENT,APARTMENT,229900,1,74,False,15,False,,1,Flandres,Flandre Orientale,AS_NEW,1,SOLAR,USA_HYPER_EQUIPPED,,False
11199324,9000,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,False,,,Flandres,Flandre Orientale,,,,,,
11192280,1130,APARTMENT,APARTMENT,254500,2,85,False,,False,,1,Bruxelles,Bruxelles,AS_NEW,3,,USA_HYPER_EQUIPPED,,False
11150795,8300,APARTMENT,APARTMENT,1195000,3,140,False,42,False,,2,Flandres,Flandre Occidentale,AS_NEW,2,GAS,USA_HYPER_EQUIPPED,False,False
11145239,8300,APARTMENT,APARTMENT,1295000,2,113,False,27,False,,2,Flandres,Flandre Occidentale,AS_NEW,2,GAS,USA_HYPER_EQUIPPED,False,False
11201639,2300,HOUSE,HOUSE,175000,2,120,True,,True,,1,Flandres,Anvers,TO_RENOVATE,3,GAS,SEMI_EQUIPPED,,
10542968,4000,APARTMENT,PENTHOUSE,649000,2,163,False,,False,,1,Wallonie,Liège,AS_NEW,2,ELECTRIC,HYPER_EQUIPPED,False,
11181010,1200,APARTMENT,APARTMENT,536500,2,152,False,13,False,,1,Bruxelles,Bruxelles,AS_NEW,2,GAS,USA_HYPER_EQUIPPED,False,False
