iter	Passed	Remaining
1166	5541	3955
1167	5546	3950
1168	5550	3945
1169	5555	3940
1170	5559	3935
1171	5564	3931
1172	5569	3926
1173	5574	3921
1174	5578	3916
1175	5583	3912
1176	5589	3908
1177	5593	3902
1178	5597	3898
1179	5603	3893
1180	5608	3889
1181	5613	3884
1182	5617	3879
1183	5622	3875
1184	5627	3870
1185	5632	3865
1186	5637	3861
1187	5642	3856
1188	5646	3851
1189	5651	3847
1190	5656	3842
1191	5660	3837
1192	5666	3833
1193	5670	3828
1194	5675	3823
1195	5680	3818
1196	5685	3814
1197	5690	3809
1198	5694	3804
1199	5700	3800
1200	5705	3795
1201	5710	3790
1202	5714	3785
1203	5719	3781
1204	5723	3776
1205	5728	3771
1206	5734	3767
1207	5738	3762
1208	5742	3757
1209	5747	3752
1210	5752	3747
1211	5756	3742
1212	5760	3737
1213	5766	3733
1214	5771	3728
1215	5775	3723
1216	5780	3719
1217	5786	3714
1218	5790	3709
1219	5795	3705
1220	5801	3701
1221	5806	3696
1222	5810	3691
1223	5815	3687
1224	5821	3682
1225	5826	3678
1226	5830	3673
1227	5834	3668
1228	5839	3663
1229	5843	3658
1230	5847	3653
1231	5851	3647
1232	5856	3643
1233	5861	3638
1234	5866	3633
1235	5871	3629
1236	5875	3624
1237	5880	3619
1238	5885	3614
1239	5889	3609
1240	5894	3605
1241	5899	3600
1242	5903	3595
1243	5909	3591
1244	5913	3586
1245	5917	3581
1246	5922	3576
1247	5926	3571
1248	5931	3566
1249	5935	3561
1250	5940	3556
1251	5944	3551
1252	5949	3546
1253	5954	3542
1254	5959	3537
1255	5964	3533
1256	5969	3528
1257	5973	3523
1258	5978	3518
1259	5982	3513
1260	5987	3508
1261	5992	3504
1262	5997	3499
1263	6001	3494
1264	6006	3489
1265	6011	3485
1266	6015	3480
1267	6019	3475
1268	6023	3470
1269	6028	3465
1270	6033	3460
1271	6037	3455
1272	6041	3450
1273	6046	3445
1274	6050	3440
1275	6055	3435
1276	6059	3430
1277	6064	3425
1278	6068	3421
1279	6073	3416
1280	6077	3411
1281	6082	3406
1282	6086	3401
1283	6090	3396
1284	6095	3391
1285	6100	3387
1286	6104	3382
1287	6110	3377
1288	6115	3373
1289	6119	3368
1290	6123	3363
1291	6128	3358
1292	6133	3353
1293	6137	3348
1294	6142	3344
1295	6147	3339
1296	6151	3334
1297	6155	3329
1298	6161	3324
1299	6165	3319
1300	6169	3314
1301	6175	3310
1302	6179	3305
1303	6183	3300
1304	6188	3295
1305	6193	3291
1306	6198	3286
1307	6203	3281
1308	6207	3276
1309	6211	3271
1310	6216	3267
1311	6221	3262
1312	6226	3257
1313	6230	3252
1314	6235	3248
1315	6239	3243
1316	6244	3238
1317	6249	3233
1318	6253	3228
1319	6258	3223
1320	6262	3218
1321	6266	3213
1322	6271	3209
1323	6276	3204
1324	6280	3199
1325	6285	3194
1326	6290	3190
1327	6294	3185
1328	6298	3180
1329	6303	3175
1330	6308	3170
1331	6313	3166
1332	6318	3161
1333	6322	3156
1334	6326	3151
1335	6330	3146
1336	6335	3141
1337	6340	3136
1338	6344	3132
1339	6348	3127
1340	6353	3122
1341	6365	3121
1342	6372	3117
1343	6379	3113
1344	6384	3109
1345	6389	3104
1346	6393	3099
1347	6398	3094
1348	6402	3089
1349	6407	3085
1350	6412	3080
1351	6417	3075
1352	6421	3070
1353	6426	3065
1354	6430	3060
1355	6434	3055
1356	6439	3051
1357	6444	3046
1358	6448	3041
1359	6453	3036
1360	6458	3032
1361	6462	3027
1362	6466	3022
1363	6471	3017
1364	6475	3012
1365	6480	3007
1366	6484	3002
1367	6489	2998
1368	6494	2993
1369	6498	2988
1370	6502	2983
1371	6507	2978
1372	6511	2973
1373	6515	2968
1374	6520	2964
1375	6525	2959
1376	6529	2954
1377	6534	2949
1378	6539	2945
1379	6544	2940
1380	6548	2935
1381	6553	2930
1382	6557	2925
1383	6562	2920
1384	6567	2916
1385	6571	2911
1386	6576	2906
1387	6580	2901
1388	6584	2896
1389	6590	2892
1390	6595	2887
1391	6599	2882
1392	6604	2878
1393	6608	2873
1394	6613	2868
1395	6617	2863
1396	6622	2858
1397	6627	2853
1398	6631	2849
1399	6637	2844
1400	6641	2839
1401	6646	2834
1402	6651	2830
1403	6655	2825
1404	6660	2820
1405	6664	2815
1406	6669	2811
1407	6674	2806
1408	6679	2801
1409	6683	2796
1410	6688	2792
1411	6693	2787
1412	6698	2782
1413	6702	2777
1414	6706	2772
1415	6710	2767
1416	6715	2762
1417	6719	2758
1418	6724	2753
1419	6728	2748
1420	6733	2743
1421	6737	2738
1422	6741	2733
1423	6745	2728
1424	6751	2724
1425	6755	2719
1426	6760	2714
1427	6764	2709
1428	6769	2704
1429	6773	2699
1430	6777	2694
1431	6781	2689
1432	6786	2685
1433	6790	2680
1434	6795	2675
1435	6800	2670
1436	6804	2666
1437	6808	2661
1438	6814	2656
1439	6819	2652
1440	6823	2647
